year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,latitude,longitude,ontime_flight_chance,total_flights
YYYY format,MM format (1-12),Code assigned by US DOT to identify a unique airline carrier.,"Unique airline (carrier) is defined as one holding and reporting under the same DOT certificate regardless of its Code, Name, or holding company/corporation.",A three character alpha-numeric code issued by the U.S. Department of Transportation which is the official designation of the airport.,A place from which aircraft operate that usually has paved runways and maintenance facilities and often serves as a terminal,,,Carrier Count for airline cause of delay,Weather Count for airline cause of delay,NAS (National Air System) Count for airline cause of delay,Security Count for airline cause of delay,Late Aircraft Delay Count for airline cause of delay,,,Difference in minutes between scheduled and actual arrival time. Early arrivals show negative numbers.,"Carrier Delay, in Minutes","Weather Delay, in Minutes","National Air System Delay, in Minutes","Security Delay, in Minutes","Late Aircraft Delay, in Minutes",,,,
2022,10,DL,Delta Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",2601.0,250.0,133.78,1.08,49.87,0.0,65.27,4.0,2.0,19857.0,12829.0,220.0,1638.0,0.0,5170.0,47.44898194,-122.3093131,91.0,2857.0
2022,9,DL,Delta Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",2624.0,246.0,107.54,6.41,68.52,0.0,63.53,7.0,4.0,19180.0,12351.0,523.0,2368.0,0.0,3938.0,47.44898194,-122.3093131,91.0,2881.0
2022,8,DL,Delta Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",2801.0,360.0,156.94,12.56,73.04,0.0,117.45,23.0,2.0,35723.0,22755.0,844.0,2624.0,0.0,9500.0,47.44898194,-122.3093131,88.0,3186.0
2022,7,DL,Delta Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",2727.0,393.0,195.7,10.45,71.35,0.0,115.51,34.0,3.0,35042.0,21618.0,790.0,2588.0,0.0,10046.0,47.44898194,-122.3093131,86.0,3157.0
2022,6,DL,Delta Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",2476.0,448.0,217.13,10.43,89.44,0.0,130.99,131.0,5.0,35998.0,21612.0,701.0,3539.0,0.0,10146.0,47.44898194,-122.3093131,81.0,3060.0
2022,5,DL,Delta Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",2397.0,325.0,157.71,3.82,89.47,0.0,74.0,87.0,1.0,23101.0,15101.0,268.0,2477.0,0.0,5255.0,47.44898194,-122.3093131,85.0,2810.0
2022,4,DL,Delta Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",2240.0,239.0,119.68,2.78,54.18,0.0,62.36,9.0,8.0,24063.0,13496.0,534.0,2240.0,0.0,7793.0,47.44898194,-122.3093131,90.0,2496.0
2022,3,DL,Delta Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",2295.0,332.0,140.44,11.18,91.29,0.0,89.09,6.0,3.0,23749.0,11999.0,2257.0,2889.0,0.0,6604.0,47.44898194,-122.3093131,87.0,2636.0
2022,2,DL,Delta Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",1942.0,216.0,91.97,13.58,67.81,0.91,41.73,10.0,3.0,16243.0,10499.0,858.0,2075.0,84.0,2727.0,47.44898194,-122.3093131,89.0,2171.0
2022,1,DL,Delta Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",2171.0,326.0,150.07,10.25,89.55,0.0,76.13,84.0,15.0,23872.0,12535.0,844.0,3491.0,0.0,7002.0,47.44898194,-122.3093131,84.0,2596.0
2023,12,DL,Delta Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",2619.0,185.0,79.11,7.24,54.71,0.0,43.94,1.0,3.0,17177.0,11043.0,1678.0,1594.0,0.0,2862.0,47.44898194,-122.3093131,93.0,2808.0
2023,11,DL,Delta Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",2618.0,274.0,93.48,2.51,95.13,0.0,82.89,2.0,11.0,21538.0,11026.0,130.0,3117.0,0.0,7265.0,47.44898194,-122.3093131,90.0,2905.0
2023,10,DL,Delta Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",2848.0,262.0,87.1,6.08,104.89,0.0,63.92,4.0,2.0,16713.0,8654.0,617.0,2934.0,0.0,4508.0,47.44898194,-122.3093131,91.0,3116.0
2023,9,DL,Delta Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",2883.0,339.0,122.32,10.38,91.36,1.0,113.94,20.0,1.0,27493.0,11315.0,1269.0,4604.0,15.0,10290.0,47.44898194,-122.3093131,89.0,3243.0
2023,8,DL,Delta Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",3201.0,391.0,149.62,16.7,79.87,0.0,144.81,29.0,4.0,36535.0,19341.0,1439.0,3245.0,0.0,12510.0,47.44898194,-122.3093131,88.0,3625.0
2023,7,DL,Delta Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",3201.0,643.0,280.21,24.41,128.19,0.0,210.19,27.0,2.0,51989.0,30194.0,1552.0,5288.0,0.0,14955.0,47.44898194,-122.3093131,83.0,3873.0
2023,6,DL,Delta Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",3043.0,459.0,183.42,9.43,102.4,0.0,163.75,26.0,4.0,38649.0,21211.0,650.0,4171.0,0.0,12617.0,47.44898194,-122.3093131,86.0,3532.0
2023,5,DL,Delta Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",2830.0,309.0,122.5,5.55,74.87,1.0,105.08,16.0,4.0,21896.0,12160.0,324.0,1891.0,15.0,7506.0,47.44898194,-122.3093131,90.0,3159.0
2023,4,DL,Delta Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",2581.0,350.0,134.99,7.85,70.34,0.0,136.81,73.0,3.0,30407.0,15315.0,2328.0,2647.0,0.0,10117.0,47.44898194,-122.3093131,86.0,3007.0
2023,3,DL,Delta Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",2665.0,393.0,141.98,4.97,79.06,0.0,166.99,57.0,3.0,29915.0,11540.0,944.0,2963.0,0.0,14468.0,47.44898194,-122.3093131,85.0,3118.0
2023,2,DL,Delta Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",2339.0,329.0,120.67,12.61,80.16,0.74,114.81,35.0,3.0,35407.0,19053.0,1459.0,2961.0,64.0,11870.0,47.44898194,-122.3093131,86.0,2706.0
2023,1,DL,Delta Air Lines Network,SEA,"Seattle, WA: Seattle/Tacoma International",2591.0,372.0,151.98,11.78,70.74,1.0,136.5,10.0,7.0,35048.0,18695.0,1808.0,2591.0,38.0,11916.0,47.44898194,-122.3093131,87.0,2980.0
2022,12,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2757.0,662.0,271.26,4.32,93.88,5.08,287.46,348.0,1.0,43293.0,17054.0,572.0,3202.0,340.0,22125.0,33.63740085,-84.42981606522355,73.0,3768.0
2022,11,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2668.0,442.0,170.72,0.83,63.0,1.44,206.0,19.0,1.0,19235.0,7123.0,55.0,2119.0,82.0,9856.0,33.63740085,-84.42981606522355,85.0,3130.0
2022,10,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2921.0,457.0,189.4,4.93,51.33,0.0,211.34,47.0,2.0,20034.0,8059.0,336.0,1633.0,0.0,10006.0,33.63740085,-84.42981606522355,85.0,3427.0
2022,9,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2715.0,521.0,224.29,16.93,43.02,0.98,235.77,62.0,1.0,25950.0,10230.0,1055.0,1905.0,65.0,12695.0,33.63740085,-84.42981606522355,82.0,3299.0
2022,8,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2727.0,792.0,289.39,17.66,83.13,4.52,397.31,60.0,9.0,46974.0,15416.0,1584.0,4380.0,149.0,25445.0,33.63740085,-84.42981606522355,76.0,3588.0
2022,7,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2718.0,875.0,297.57,23.12,121.11,2.14,431.06,25.0,8.0,51674.0,16615.0,1812.0,6030.0,52.0,27165.0,33.63740085,-84.42981606522355,75.0,3626.0
2022,6,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2620.0,757.0,290.5,14.91,92.47,3.73,355.4,25.0,2.0,41152.0,14491.0,1316.0,4803.0,124.0,20418.0,33.63740085,-84.42981606522355,77.0,3404.0
2022,5,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2694.0,552.0,229.27,13.8,60.66,0.0,248.27,10.0,11.0,26038.0,9936.0,978.0,2231.0,0.0,12893.0,33.63740085,-84.42981606522355,82.0,3267.0
2022,4,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2522.0,577.0,222.68,7.63,73.82,1.0,271.87,52.0,1.0,31159.0,11222.0,695.0,3342.0,116.0,15784.0,33.63740085,-84.42981606522355,80.0,3152.0
2022,3,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2519.0,635.0,208.17,5.84,78.02,4.26,338.71,56.0,3.0,34543.0,10420.0,749.0,3810.0,198.0,19366.0,33.63740085,-84.42981606522355,78.0,3213.0
2022,2,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2296.0,295.0,139.6,0.67,33.47,0.71,120.55,76.0,1.0,13670.0,5950.0,62.0,1173.0,22.0,6463.0,33.63740085,-84.42981606522355,86.0,2668.0
2022,1,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2451.0,373.0,163.6,8.99,45.35,0.94,154.13,157.0,11.0,21971.0,8792.0,708.0,2554.0,30.0,9887.0,33.63740085,-84.42981606522355,82.0,2992.0
2023,12,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3614.0,614.0,197.82,2.98,101.49,0.0,311.71,12.0,0.0,28778.0,9500.0,187.0,3013.0,0.0,16078.0,33.63740085,-84.42981606522355,85.0,4240.0
2023,11,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3426.0,440.0,161.98,1.0,75.4,5.83,195.79,5.0,1.0,17840.0,7065.0,31.0,2020.0,283.0,8441.0,33.63740085,-84.42981606522355,88.0,3872.0
2023,10,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3305.0,506.0,169.62,3.56,78.33,3.18,251.3,1.0,0.0,23251.0,7651.0,433.0,3017.0,77.0,12073.0,33.63740085,-84.42981606522355,87.0,3812.0
2023,9,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3066.0,460.0,146.01,11.17,67.9,3.41,231.51,12.0,1.0,23422.0,6971.0,1077.0,2551.0,122.0,12701.0,33.63740085,-84.42981606522355,87.0,3539.0
2023,8,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3143.0,717.0,183.49,26.09,218.51,0.0,288.91,34.0,15.0,41231.0,9166.0,2453.0,14291.0,0.0,15321.0,33.63740085,-84.42981606522355,80.0,3909.0
2023,7,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3232.0,967.0,271.85,27.96,176.22,2.97,488.01,26.0,11.0,60787.0,14430.0,2361.0,10239.0,97.0,33660.0,33.63740085,-84.42981606522355,76.0,4236.0
2023,6,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3023.0,853.0,234.29,23.13,146.25,9.47,439.86,11.0,12.0,48817.0,11909.0,2047.0,6751.0,373.0,27737.0,33.63740085,-84.42981606522355,78.0,3899.0
2023,5,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3014.0,597.0,222.81,11.37,89.34,0.45,273.02,8.0,2.0,28930.0,10583.0,700.0,3129.0,13.0,14505.0,33.63740085,-84.42981606522355,83.0,3621.0
2023,4,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2813.0,660.0,195.77,13.69,116.17,3.52,330.85,19.0,1.0,32233.0,8372.0,1158.0,4632.0,116.0,17955.0,33.63740085,-84.42981606522355,81.0,3493.0
2023,3,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2788.0,571.0,165.99,11.11,131.28,3.14,259.48,14.0,4.0,29026.0,7453.0,1209.0,6591.0,149.0,13624.0,33.63740085,-84.42981606522355,83.0,3377.0
2023,2,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2485.0,289.0,119.57,2.67,34.73,0.84,131.2,28.0,0.0,12343.0,5184.0,221.0,1132.0,41.0,5765.0,33.63740085,-84.42981606522355,89.0,2802.0
2023,1,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2758.0,501.0,167.41,3.8,111.34,0.82,217.62,44.0,2.0,34058.0,10583.0,435.0,6686.0,55.0,16299.0,33.63740085,-84.42981606522355,83.0,3305.0
2022,12,WN,Southwest Airlines,ORD,"Chicago, IL: Chicago O'Hare International",800.0,151.0,55.22,2.87,43.8,0.0,49.1,140.0,3.0,8527.0,3521.0,435.0,1905.0,0.0,2666.0,41.9782523,-87.90923552598412,73.0,1094.0
2022,11,WN,Southwest Airlines,ORD,"Chicago, IL: Chicago O'Hare International",789.0,115.0,42.03,0.0,36.31,1.0,35.65,15.0,1.0,5263.0,1665.0,0.0,1661.0,21.0,1916.0,41.9782523,-87.90923552598412,86.0,920.0
2022,10,WN,Southwest Airlines,ORD,"Chicago, IL: Chicago O'Hare International",834.0,118.0,39.81,0.08,35.54,0.0,42.57,2.0,2.0,4554.0,1434.0,6.0,999.0,0.0,2115.0,41.9782523,-87.90923552598412,87.0,956.0
2022,9,WN,Southwest Airlines,ORD,"Chicago, IL: Chicago O'Hare International",788.0,166.0,47.74,4.32,51.02,0.0,62.92,14.0,0.0,7609.0,1909.0,327.0,1904.0,0.0,3469.0,41.9782523,-87.90923552598412,81.0,968.0
2022,8,WN,Southwest Airlines,ORD,"Chicago, IL: Chicago O'Hare International",817.0,290.0,86.74,5.21,100.19,2.0,95.86,54.0,18.0,16945.0,4906.0,665.0,5674.0,84.0,5616.0,41.9782523,-87.90923552598412,69.0,1179.0
2022,7,WN,Southwest Airlines,ORD,"Chicago, IL: Chicago O'Hare International",812.0,284.0,90.67,7.75,106.97,0.59,78.02,26.0,8.0,16274.0,5231.0,594.0,6118.0,19.0,4312.0,41.9782523,-87.90923552598412,72.0,1130.0
2022,6,WN,Southwest Airlines,ORD,"Chicago, IL: Chicago O'Hare International",790.0,307.0,90.54,3.73,136.31,1.85,74.56,7.0,10.0,14903.0,4175.0,206.0,6027.0,138.0,4357.0,41.9782523,-87.90923552598412,71.0,1114.0
2022,5,WN,Southwest Airlines,ORD,"Chicago, IL: Chicago O'Hare International",817.0,214.0,82.23,1.5,75.92,0.0,54.35,5.0,6.0,8262.0,2951.0,136.0,2481.0,0.0,2694.0,41.9782523,-87.90923552598412,78.0,1042.0
2022,4,WN,Southwest Airlines,ORD,"Chicago, IL: Chicago O'Hare International",787.0,254.0,89.8,2.65,95.58,0.0,65.96,17.0,5.0,13253.0,4369.0,491.0,4633.0,0.0,3760.0,41.9782523,-87.90923552598412,74.0,1063.0
2022,3,WN,Southwest Airlines,ORD,"Chicago, IL: Chicago O'Hare International",749.0,296.0,98.17,2.19,115.25,1.0,79.39,12.0,1.0,13246.0,4512.0,370.0,4112.0,54.0,4198.0,41.9782523,-87.90923552598412,71.0,1058.0
2022,2,WN,Southwest Airlines,ORD,"Chicago, IL: Chicago O'Hare International",708.0,211.0,70.85,1.04,87.66,0.0,51.45,55.0,3.0,10297.0,3541.0,67.0,3924.0,0.0,2765.0,41.9782523,-87.90923552598412,72.0,977.0
2022,1,WN,Southwest Airlines,ORD,"Chicago, IL: Chicago O'Hare International",798.0,219.0,65.61,3.44,102.48,0.36,47.1,121.0,2.0,11413.0,3218.0,272.0,4709.0,21.0,3193.0,41.9782523,-87.90923552598412,70.0,1140.0
2023,12,WN,Southwest Airlines,ORD,"Chicago, IL: Chicago O'Hare International",866.0,178.0,54.17,0.0,75.49,0.0,48.34,4.0,1.0,7355.0,2395.0,0.0,2539.0,0.0,2421.0,41.9782523,-87.90923552598412,83.0,1049.0
2023,11,WN,Southwest Airlines,ORD,"Chicago, IL: Chicago O'Hare International",839.0,120.0,35.94,0.17,43.91,1.0,38.98,5.0,2.0,4296.0,1571.0,6.0,1230.0,70.0,1419.0,41.9782523,-87.90923552598412,87.0,966.0
2023,10,WN,Southwest Airlines,ORD,"Chicago, IL: Chicago O'Hare International",880.0,166.0,44.29,1.0,55.86,0.0,64.85,1.0,0.0,6901.0,1898.0,57.0,1717.0,0.0,3229.0,41.9782523,-87.90923552598412,84.0,1047.0
2023,9,WN,Southwest Airlines,ORD,"Chicago, IL: Chicago O'Hare International",853.0,159.0,54.12,1.03,54.23,0.0,49.61,5.0,0.0,6398.0,2325.0,28.0,1732.0,0.0,2313.0,41.9782523,-87.90923552598412,84.0,1017.0
2023,8,WN,Southwest Airlines,ORD,"Chicago, IL: Chicago O'Hare International",851.0,231.0,69.12,1.7,91.26,0.67,68.26,16.0,4.0,10133.0,3075.0,99.0,3615.0,10.0,3334.0,41.9782523,-87.90923552598412,77.0,1102.0
2023,7,WN,Southwest Airlines,ORD,"Chicago, IL: Chicago O'Hare International",804.0,254.0,56.33,5.8,103.61,0.0,88.26,10.0,15.0,15041.0,3303.0,705.0,5763.0,0.0,5270.0,41.9782523,-87.90923552598412,74.0,1083.0
2023,6,WN,Southwest Airlines,ORD,"Chicago, IL: Chicago O'Hare International",783.0,291.0,66.24,7.59,105.54,0.0,111.63,2.0,4.0,14740.0,3058.0,760.0,4203.0,0.0,6719.0,41.9782523,-87.90923552598412,72.0,1080.0
2023,5,WN,Southwest Airlines,ORD,"Chicago, IL: Chicago O'Hare International",818.0,248.0,68.76,3.56,104.9,0.0,70.78,3.0,2.0,10064.0,2986.0,147.0,3073.0,0.0,3858.0,41.9782523,-87.90923552598412,76.0,1071.0
2023,4,WN,Southwest Airlines,ORD,"Chicago, IL: Chicago O'Hare International",795.0,262.0,63.62,4.76,99.36,1.0,93.26,8.0,5.0,13574.0,3343.0,600.0,4079.0,25.0,5527.0,41.9782523,-87.90923552598412,74.0,1070.0
2023,3,WN,Southwest Airlines,ORD,"Chicago, IL: Chicago O'Hare International",807.0,177.0,46.44,1.42,63.29,0.3,65.55,19.0,2.0,9458.0,2252.0,95.0,2605.0,6.0,4500.0,41.9782523,-87.90923552598412,80.0,1005.0
2023,2,WN,Southwest Airlines,ORD,"Chicago, IL: Chicago O'Hare International",720.0,78.0,30.02,1.0,28.65,0.0,18.33,40.0,1.0,3673.0,1720.0,27.0,1070.0,0.0,856.0,41.9782523,-87.90923552598412,86.0,839.0
2023,1,WN,Southwest Airlines,ORD,"Chicago, IL: Chicago O'Hare International",801.0,120.0,33.92,0.29,36.19,0.0,49.6,33.0,4.0,7284.0,1975.0,22.0,1656.0,0.0,3631.0,41.9782523,-87.90923552598412,84.0,958.0
2022,12,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",7798.0,1673.0,586.21,20.12,387.06,5.06,674.55,1356.0,17.0,111899.0,37590.0,2202.0,24893.0,207.0,47007.0,39.8606676,-104.68536732610298,72.0,10844.0
2022,11,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",7404.0,1090.0,366.47,11.61,218.89,4.03,489.0,73.0,2.0,49762.0,17217.0,925.0,8245.0,201.0,23174.0,39.8606676,-104.68536732610298,86.0,8569.0
2022,10,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",7750.0,1179.0,439.73,13.57,218.29,3.05,504.37,62.0,8.0,48957.0,19771.0,813.0,6961.0,72.0,21340.0,39.8606676,-104.68536732610298,86.0,8999.0
2022,9,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",7507.0,1370.0,430.78,29.78,282.86,1.54,625.05,66.0,30.0,66339.0,20867.0,1868.0,10505.0,85.0,33014.0,39.8606676,-104.68536732610298,84.0,8973.0
2022,8,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",7277.0,1947.0,611.28,39.28,320.76,5.96,969.72,192.0,33.0,109424.0,31455.0,3253.0,16108.0,326.0,58282.0,39.8606676,-104.68536732610298,77.0,9449.0
2022,7,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",7242.0,2053.0,578.56,43.3,491.23,7.25,932.66,165.0,52.0,112892.0,30256.0,3242.0,22638.0,427.0,56329.0,39.8606676,-104.68536732610298,76.0,9512.0
2022,6,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",6938.0,1714.0,538.56,14.43,340.07,6.61,814.33,79.0,26.0,78905.0,23672.0,1000.0,13080.0,200.0,40953.0,39.8606676,-104.68536732610298,79.0,8757.0
2022,5,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",6665.0,1229.0,411.28,21.46,249.23,1.7,545.33,58.0,25.0,53530.0,18477.0,1198.0,8664.0,49.0,25142.0,39.8606676,-104.68536732610298,84.0,7977.0
2022,4,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",6259.0,1655.0,492.08,13.25,381.32,5.05,763.3,81.0,17.0,79965.0,22654.0,1248.0,14322.0,185.0,41556.0,39.8606676,-104.68536732610298,78.0,8012.0
2022,3,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",6276.0,1627.0,507.09,8.04,370.72,8.72,732.43,159.0,2.0,78751.0,23201.0,735.0,13996.0,269.0,40550.0,39.8606676,-104.68536732610298,78.0,8064.0
2022,2,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",5802.0,1177.0,388.18,11.92,361.97,7.95,406.98,326.0,5.0,49246.0,15515.0,616.0,12339.0,221.0,20555.0,39.8606676,-104.68536732610298,79.0,7310.0
2022,1,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",6221.0,1172.0,381.16,8.38,401.99,1.43,379.05,911.0,4.0,65241.0,21430.0,632.0,19439.0,47.0,23693.0,39.8606676,-104.68536732610298,75.0,8308.0
2023,12,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",8937.0,1187.0,371.33,7.72,194.59,9.25,604.12,44.0,3.0,53294.0,16987.0,545.0,5832.0,382.0,29548.0,39.8606676,-104.68536732610298,88.0,10171.0
2023,11,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",8469.0,1074.0,320.67,3.17,234.08,2.79,513.29,22.0,5.0,44837.0,14581.0,399.0,6798.0,101.0,22958.0,39.8606676,-104.68536732610298,88.0,9570.0
2023,10,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",8577.0,1771.0,401.78,19.07,523.83,4.15,822.17,13.0,3.0,82263.0,17456.0,2212.0,24717.0,140.0,37738.0,39.8606676,-104.68536732610298,83.0,10364.0
2023,9,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",8022.0,1601.0,396.51,35.51,472.76,5.0,691.22,31.0,9.0,80262.0,19075.0,3149.0,22792.0,174.0,35072.0,39.8606676,-104.68536732610298,83.0,9663.0
2023,8,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",8727.0,2208.0,491.62,51.67,750.42,3.67,910.63,109.0,33.0,114095.0,23438.0,4122.0,38031.0,228.0,48276.0,39.8606676,-104.68536732610298,79.0,11077.0
2023,7,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",8673.0,3037.0,591.1,78.71,1068.2,5.65,1293.34,193.0,69.0,194272.0,34179.0,8128.0,68394.0,244.0,83327.0,39.8606676,-104.68536732610298,72.0,11972.0
2023,6,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",7988.0,2654.0,525.19,78.6,947.12,12.19,1090.9,80.0,80.0,168115.0,28347.0,7778.0,64346.0,563.0,67081.0,39.8606676,-104.68536732610298,74.0,10802.0
2023,5,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",8014.0,1898.0,413.54,39.7,663.74,5.43,775.59,83.0,53.0,101017.0,19569.0,3404.0,37382.0,357.0,40305.0,39.8606676,-104.68536732610298,80.0,10048.0
2023,4,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",7420.0,1667.0,428.63,20.25,337.74,5.01,875.38,76.0,54.0,88133.0,21185.0,2085.0,16996.0,283.0,47584.0,39.8606676,-104.68536732610298,81.0,9217.0
2023,3,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",7583.0,1635.0,416.88,12.54,346.49,5.84,853.25,50.0,12.0,74311.0,19604.0,1514.0,12749.0,329.0,40115.0,39.8606676,-104.68536732610298,82.0,9280.0
2023,2,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",6484.0,956.0,257.86,12.8,242.9,0.0,442.45,220.0,5.0,44423.0,11667.0,887.0,9481.0,0.0,22388.0,39.8606676,-104.68536732610298,85.0,7665.0
2023,1,WN,Southwest Airlines,DEN,"Denver, CO: Denver International",7264.0,1349.0,359.07,25.76,338.76,1.54,623.87,378.0,15.0,80529.0,20889.0,2074.0,14905.0,78.0,42583.0,39.8606676,-104.68536732610298,81.0,9006.0
2022,12,WN,Southwest Airlines,LAX,"Los Angeles, CA: Los Angeles International",2225.0,614.0,263.35,3.37,61.75,1.98,283.55,301.0,1.0,36960.0,15324.0,323.0,2225.0,93.0,18995.0,33.94216754999999,-118.42135906141588,71.0,3141.0
2022,11,WN,Southwest Airlines,LAX,"Los Angeles, CA: Los Angeles International",2186.0,392.0,158.22,1.62,34.46,0.95,196.76,6.0,1.0,16832.0,6724.0,161.0,1123.0,18.0,8806.0,33.94216754999999,-118.42135906141588,85.0,2585.0
2022,10,WN,Southwest Airlines,LAX,"Los Angeles, CA: Los Angeles International",2295.0,415.0,172.79,3.21,28.74,0.0,210.25,9.0,0.0,19018.0,7457.0,433.0,819.0,0.0,10309.0,33.94216754999999,-118.42135906141588,84.0,2719.0
2022,9,WN,Southwest Airlines,LAX,"Los Angeles, CA: Los Angeles International",2149.0,451.0,173.65,3.25,36.0,1.0,237.09,14.0,1.0,24419.0,9583.0,228.0,1334.0,18.0,13256.0,33.94216754999999,-118.42135906141588,82.0,2615.0
2022,8,WN,Southwest Airlines,LAX,"Los Angeles, CA: Los Angeles International",2426.0,618.0,238.47,5.25,35.44,3.0,335.85,33.0,1.0,35580.0,12332.0,538.0,1427.0,314.0,20969.0,33.94216754999999,-118.42135906141588,79.0,3078.0
2022,7,WN,Southwest Airlines,LAX,"Los Angeles, CA: Los Angeles International",2377.0,648.0,236.74,7.73,43.76,3.33,356.44,21.0,2.0,37428.0,11497.0,611.0,2342.0,103.0,22875.0,33.94216754999999,-118.42135906141588,78.0,3048.0
2022,6,WN,Southwest Airlines,LAX,"Los Angeles, CA: Los Angeles International",2226.0,614.0,253.19,2.38,41.96,4.75,311.72,10.0,4.0,31767.0,12706.0,275.0,1364.0,110.0,17312.0,33.94216754999999,-118.42135906141588,78.0,2854.0
2022,5,WN,Southwest Airlines,LAX,"Los Angeles, CA: Los Angeles International",2498.0,516.0,214.7,2.0,50.26,5.72,243.32,14.0,2.0,22486.0,9018.0,58.0,1661.0,177.0,11572.0,33.94216754999999,-118.42135906141588,82.0,3030.0
2022,4,WN,Southwest Airlines,LAX,"Los Angeles, CA: Los Angeles International",2347.0,675.0,253.62,1.13,72.26,4.92,343.07,19.0,5.0,32895.0,12383.0,131.0,2421.0,116.0,17844.0,33.94216754999999,-118.42135906141588,77.0,3046.0
